price;year;condition;cylinders;odometer;title_status;transmission;drive;size;lat;long;weather
27993;2016;3;6;17312;clean;automatic;4wd;mid-size;44,52039;-88,06645;45
1;1997;2;8;247500;clean;automatic;;;26,6281;-82,0182;65
999;2011;2;8;85000;clean;automatic;rwd;;41,0334;-81,4385;49
6799;2003;3;8;81731;clean;automatic;rwd;full-size;40,050455;-84,193339;49
12995;2007;3;8;96000;clean;automatic;4wd;full-size;43,9608;-70,2974;44
2400;2000;1;6;167000;clean;manual;4wd;full-size;44,5199;-85,6935;45
31995;2013;3;8;144082;clean;automatic;;full-size;31,732124;-106,364833;67
16979;2013;3;6;68602;clean;automatic;rwd;mid-size;44,52039;-88,06645;45
27995;2016;3;8;42956;clean;automatic;4wd;full-size;40,83598;-96,725713;46
22700;2011;3;8;164808;clean;automatic;4wd;full-size;50,007206;-125,244168;
2995;1979;2;8;111111;clean;manual;4wd;;42,4638;-123,3457;50
2000;1993;2;8;116000;clean;automatic;4wd;full-size;37,278145;-107,859476;45
13200;2008;3;8;111102;clean;automatic;rwd;mid-size;34,83092;-87,62284;61
13500;2010;2;8;66000;clean;automatic;4wd;;43,9444;-72,6726;44
15900;2016;3;6;142595;clean;automatic;4wd;full-size;44,227258;-88,467902;45
7200;2002;3;8;142000;clean;automatic;4wd;full-size;45,765895;-87,089;45
9000;2004;2;8;187000;clean;automatic;4wd;;34,618;-86,0562;61
21987;2010;4;8;101071;clean;automatic;4wd;full-size;32,18182;-90,137611;61
4500;2004;2;8;70605;clean;automatic;rwd;;42,1743;-91,9892;47
15000;2016;3;6;109356;clean;automatic;rwd;mid-size;34,21788;-118,48452;59
8400;2012;2;6;141800;clean;automatic;rwd;;30,43;-97,8326;67
4600;2005;2;6;160000;clean;automatic;rwd;full-size;40,182207;-122,205471;59
5000;2003;2;8;227050;clean;automatic;4wd;full-size;38,0891;-85,6548;50
2500;2003;2;8;240345;clean;automatic;;;34,183033;-79,766836;60
4500;2002;1;8;88591;clean;automatic;4wd;full-size;30,512162;-87,252296;65
16995;2010;3;8;88402;rebuilt;automatic;4wd;full-size;44,409843;-89,88115;45
18950;2010;3;8;145278;clean;automatic;4wd;full-size;37,286501;-80,056719;55
5000;2002;2;8;290000;clean;automatic;4wd;;30,6327;-96,3662;67
4450;2004;3;8;152000;clean;automatic;4wd;full-size;42,484503;-92,324974;47
33996;2015;2;8;46711;clean;automatic;4wd;full-size;40,335245;-76,488033;53
